name,price_eur,number_of_colors,colors_in_order,image_urls
"Fútbol+Luz",36.30,1,false,"https://static.wixstatic.com/media/67aaaa_056ac3cce43345b3a9510b50adf769f3~mv2.jpeg/v1/fill/w_2048%2Ch_2048%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_056ac3cce43345b3a9510b50adf769f3~mv2.jpeg"
"Marco flores + texto +luz",33.00,1,false,"https://static.wixstatic.com/media/67aaaa_412da3bc6faa437d9631db36f25a328a~mv2.jpg/v1/fill/w_4284%2Ch_4284%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_412da3bc6faa437d9631db36f25a328a~mv2.jpg"
"Cuadro Fichas + foto+ texto impreso+ luz",30.80,1,false,"https://static.wixstatic.com/media/67aaaa_93e6be6dc30c4d52a61876140f2d9524~mv2.jpeg/v1/fill/w_1600%2Ch_1600%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_93e6be6dc30c4d52a61876140f2d9524~mv2.jpeg"
"Cuadro Marco Corazón flores + texto impreso+ luz",35.20,1,false,"https://static.wixstatic.com/media/67aaaa_51aed125076e47de9e65502f73b294e8~mv2.jpg/v1/fill/w_4284%2Ch_4284%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_51aed125076e47de9e65502f73b294e8~mv2.jpg"
"Esquina flores + Imagen IA +luz",30.80,1,false,"https://static.wixstatic.com/media/67aaaa_b8ba6924c47a4436a5f37a8e0cb01886~mv2.jpg/v1/fill/w_45%2Ch_45%2Cal_c%2Cq_80%2Cenc_avif%2Cquality_auto/67aaaa_b8ba6924c47a4436a5f37a8e0cb01886~mv2.jpg"
"Marco flores + foto +luz",34.00,1,false,""
"Cuadro fichas + foto + rosario + luz",38.50,1,false,"https://static.wixstatic.com/media/67aaaa_db4bc92e6a4c41c28bf5b3197b1dcbf6~mv2.png/v1/fill/w_45%2Ch_45%2Cal_c%2Cq_85%2Cenc_avif%2Cquality_auto/67aaaa_db4bc92e6a4c41c28bf5b3197b1dcbf6~mv2.png"
"kpop Demon Hunters",36.30,1,false,"https://static.wixstatic.com/media/67aaaa_863cc88dffca43bc985989c51657662e~mv2.jpg/v1/fill/w_4284%2Ch_4284%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_863cc88dffca43bc985989c51657662e~mv2.jpg"
"P. comunión flores + imagen + luz",30.80,1,false,"https://static.wixstatic.com/media/67aaaa_1ccb251be26742fdb8525ca49ee79037~mv2.jpg/v1/fill/w_4284%2Ch_4284%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_1ccb251be26742fdb8525ca49ee79037~mv2.jpg"
"Nombre dorado+ foto +luz",30.80,1,false,"https://static.wixstatic.com/media/67aaaa_66b9afbd034d41cfbc12e8458aa388f4~mv2.jpeg/v1/fill/w_1600%2Ch_1600%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_66b9afbd034d41cfbc12e8458aa388f4~mv2.jpeg"
"Esquina flores + foto +luz",30.80,1,false,""
"Cuadro Alas + foto + frase +luz (No apto para uso en exteriores)",35.00,1,false,""
"Cuadro Corazón flores + texto impreso+ luz",35.20,1,false,"https://static.wixstatic.com/media/67aaaa_7aeaf8291f544ec09949ff2605e1d9b8~mv2.png/v1/fill/w_1181%2Ch_1181%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_7aeaf8291f544ec09949ff2605e1d9b8~mv2.png"
"Spotify (25 flores)",45.65,1,false,"https://static.wixstatic.com/media/67aaaa_d860f4d794ad4c63abb471e281a91c4f~mv2.jpg/v1/fill/w_1067%2Ch_1067%2Cal_c%2Cq_85%2Cenc_avif%2Cquality_auto/67aaaa_d860f4d794ad4c63abb471e281a91c4f~mv2.jpg"
"Boda flores +imagen +luz LED",30.80,1,false,""
"Cuadro Alas + frase +luz (No apto para uso en exteriores)",35.00,1,false,""
"Cuadro personaje + nombre +Luz LED",36.30,1,false,"https://static.wixstatic.com/media/67aaaa_beea3ca4f9c44c7fb26b0b90a88b26be~mv2.png/v1/fill/w_45%2Ch_45%2Cal_c%2Cq_85%2Cenc_avif%2Cquality_auto/67aaaa_beea3ca4f9c44c7fb26b0b90a88b26be~mv2.png"
"Cuadro esquina flores #1 +Luz",27.50,1,false,"https://static.wixstatic.com/media/67aaaa_38b658503dee428e82c028107f7c518d~mv2.png/v1/fill/w_1181%2Ch_1181%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_38b658503dee428e82c028107f7c518d~mv2.png"
"Graduación flores +imagen +luz LED",30.80,1,false,""
"Cuadro Alas pequeñas+ foto + frase +luz (No apto para uso en exteriores)",38.50,1,false,"https://static.wixstatic.com/media/67aaaa_a345bdd22dbf4487bd6590abba753ed3~mv2.png/v1/fill/w_1199%2Ch_1199%2Cal_c%2Cq_90%2Cenc_avif%2Cquality_auto/67aaaa_a345bdd22dbf4487bd6590abba753ed3~mv2.png"
"Cuadro Corazón + foto+ luz",46.20,1,false,""
